muhogo	Cassava
taisukaniza	To separate, divide into pieces
abateezi b'entomihobo n 'omumu w 'olmbataisukaniza omukuteerangana kwabo	Boxers in the game of fighting are separated by a referee
taisura	To let slip, let go, release
omuhiigi obu abona enyamaiswa ataisura embwa ze kugihambya; omusaija ayataisuliire abagenzi embwa ze bakamutaho omusango; omunyankomo ataisw1n11e	When a hunter sights an animal, he releases his dogs to chase it; The man who released his dogs to travellers was charged with a criminal case; The prisoner has been released. -taito, adj. Small, little, tinny, few, =ke
Tajeemerwa	One of the Royal drums
talibana	To work alone and very hard, do ail the work oneself
-namwandu atalibana muno wenka omumakage.	-the widow always works alone at her home.
taliga	To be busy
-taata ataliga muno buli runaku.	-my dad is always busy in a day.
taliikiriza	T dry at fire
taliiriza	To turn a side, avoid
nkabasanga beemeriire omumuhanda hagati Nyowe nata/iiriza mpora nabarabaho	, l found them standing in the middle of the way and turned aside and passed by them
talika	To dry meat over the fire grill
obu anywa amaanva; kira ebiro bisalu	Mukazi we araara amuta/ikire,, when he takes alcohol he scolds his wife till morning; For meat to be quHe dry, it is grilled for three days
talikiza	To sit with legs wide apart
akaanya kataito obu orukukatalikirizaamu abantu abandi nibaburwa h 'okwikaarra	If you sit with legs apart in a small space, other people will not have where to sit.
taliza	To leave (tree) in the ground, disturb, hinder
tama	To disgust, sicken, weary
akantamira orugambo nve; obu obazaaho kubi mugenzi waawe omutamisa abantu; akatamwa buli muntu	Be/she makes me disgusted because of rumour mongering; If you spek iU of your neighbour you make people be weary of him/her; Every one gets sick of him/her
tamba	To execute, offer (sacrince), cure, heal, ward off
poliisi ekatamba kukwata omusuma owaakaba atuntwize ekyaro; omufumu onu atambira sente nke muno; atambisa emibazi y 'Ekitooro; enu endwara neetambwa Abarukwiragura	The police did a commendable job to arrest a thief who used to terrorize people in the village; This doctor asks for very little money for treatment; He/she uses Kitooro herbs to cure people of their diseases; This disease is curable by African traditional healers
tambikiza	Pr. Of c. Form, tambikiriza, ku-, oku-
toina mbere oratambikiriza amagun1, Omwanya oikaliremu mufunda	, you have not enough space where to stridey our legs
tambuka	To stride across, step over
akamttjunaana habw 'okumutambukira ebyokulya	He/she blamed her/him for having strode across his/her food
tamburra	Tambuurra tana to distribute meat (esp. Remains of carcass to hunters)
amagun1; e11yama y'ekisoro bagitambuurra omukisaka; enyama y'ekisoro ky'omukisaka etamburwa hali abo bonka abagihiigire	Stride; Meat from the carcass of an animal killed by bunters is distributed while the hunters are in the bush; Meat of a hunted animal is shared only among those who participated in the bunt
tambuurra	To remove a spell, exorcise
tamiira	To get drunk, become intoxicated
atamiire amaanva g 'ebitooke; amaarwa tibagatamiirra buko	He is drunk of banana wine; People do not get drunk at the home of their in-laws
tamiirukuka	To get sober, wake from drunken sleep
obu yatamiire akatamiinikukira ekiro kyo11a; ebicwe by'enyama nibyo byamwamiinikukize	When he/she got drunk it took him/her the whole day to get sober; He/she was helped by meat soup to get sober
tamika	To put food into mouth of (another)
omwwaire bamutamikil'a kubunva amaani g'okwetamika; omuntu ebyokulya bakira kubimutamikisa egiiko	People put food into the mouth of a patient because he/she is unable to put it into his/ her mouth; We use a table spoon to put food into one's mouth
tamura	To take out of mouth of another (usually child)
amata abaire naanywa abasuma bagamutamwire kwiba ente ye	The thieves have deprived him/her of the milk be/she has been drinking following the theft of bis/her cow
tamuza	To remove sucking calf from one teat to another so as to induce milk in all teats
tamwa	To be weary of, hate, loathe
tamya	To induce disgust
ekillooya kye kitanire; ataniire Kasunganyanja; atanire kumanya habwaki omwana wange atii1·e owe	Nikyetaaga omubazi ogw 'amaani kukiraho, his/her sore has grown worse, it needs much more strong medicine to heal it; Be/ she has taken hls/her commodities to Kasunganyanja market; He/ she came angrily to find out wby my child hit his/hers
tanaka	To vomit, be sick
abaana nubo bakanya muno kutanakira omubbaasi; haroho emibazi enyakutanakya abarwaire	It is mostly children who vomit in buses while traveling; There are some medicines which make patients vomit
tananuka	Inconvincible
tanda	To stride, take a long step
amaguru	Stand astride
tandaaza	To spread (e.g. Cement)
enju ye abafundi bakagitm1daaliza ebiro bisatu	Builders took three days to spread cement on the floor of his house
tandagaraza	To spread out the legs
tandalika	To stretch out (as a tent)
tandama	To stand astride,kneel with legs apart
tandiika	To saddle, harness (a riding animal)
tandika	To start work, start to narrate, begin a job etc
obulemu obw 'okucungw·a Uganda bukatandikira luwero; Tusiime agonza muno omwegesa we ayamutandikisize kusoma n 'okuhandiika; obulemu obwa kabiri obw 'ensi yoona bukatandikwa Adolf Hitler (1939 - 1945)	The war to liberate Uganda started in Luwero; Tusiime loves his teacher who first taught him how to read and write; The second world war was started by Adolf Hitler in ( 1939 - 1945)
tandukuurra	To unsaddle, clear away
akasanga tumazire ira kulya n"emeza bagitandukurwire ira; akaba agenzire	He/ she found that we had already finished eating and the table had already been cleared up. Tangs. She had already gone, but her husband stopped her while on the way
Tangiira	To meet and welcome a guest
tangaara	: to be astonished, wonder, marvel
abantu bakatangaarra ebyamahano yabakoorraaga	People maf\>eled at the miracles he performed before them
tangaaza	To astonish, look through a telescope
tangiirra	To meet and welcome a guest
Omuroleerezi bamutangiririire omumaduuk.a Fort po11al; omukuras1 wabo bakamutangiriza elcimuli; akabatangisiza habw.okugya habbaasi	The Bishop was welcome at the shops, in Fort portal; They welcomed their councilor with a bouquet of flowers-; He/she gained advantage at their epense because he/she was going to the bus park
tanisa	To take for sale, make septic
agiire kutanisa ebihimba bye; ente zigira akatale kaazo aka baitamsizaamu; oburunguru butanisibwa omukataale ka Hima	She has taken her beans to market; Cattle have their own market where people take them for sale; Onions are sold at Hima market
tanuka	To grow worse, spread
ekihooya kye kibaire kyas1sana ekirukwoma; ira amaiz1 g'enjura bagatangiririzaga hkitooke rundi hamutoma; Busaho n 'omu ayamanyire ekyamutanuukiriize 11a mugenzi we	Baifll hati kitanukire buhyaka, his/her sore looked as if it was gettingdry, but it isnow septic. Tanukiirra ku-, oku-, v.tr; In the past ram water was tapped from a plantain or barkcloth tree; Nobody knows what caused the qurrel between him/her and his/her compamon
tanwa	To accidentally, meet with an accident
tara	To move about, wander about, stagger, reel
omuntu obu ataarra omubantu abatamumanyire tabatungiramu businge; enaku nizo itaza omuntu	When a person wanders about amongst people who do not know him/her, he/she gets no peace from them; It is need which makes people wander about
tara	To form battle array
obu yasangire amahe gaatara haka ye aho yamanya; enjuye akagitalilwa omufundi ayayegesiibwe omu byamaju	Nkooku a/i omukobi, it is when he found soldiers marshaled around bis home, that he realized he was in danger; The site for his house was measured by a trained builder
taraaka	To splash up, gush out
akarabya nwtoko ye omumaizi g'omuruguudo amaizi gaataraaldra abantu	He drove his/her car through a puddle in the road and splashed waler on people
tarama	To be wide (e.g. Basket), be shallow
tarantuka	To stagger
taruka	To trip up
taruuka	To shed (skin, bark)
tata	To spy on
tatento	, my paternal uncle
taza	To take about, make to travel, spread (report)
teba	To grow weary, be limp
teba	Prepare a pipe, cut a pipe stem and fit it into the bowl
omuntu amanyire ebyenseke nuwe atebera abanyubenyzmgu enseke	It's one who knows all about pipes who molds pipes for pipe smokers and fits them into their bowls
teba	CaJI without reason
abaisiki abamu bakira muno klltebwa aboojo	Some girls are hoaxed by boys
tebeekana	To be dutiful, docile, agree
tebeekaniza	To steer, keep straight
tebeekera	To give permission to, leave it to fate, agree, assent
tebeekera nk 'owaatwanwa amaizi	Leave it to fate like a drawing person
tebeekeza	To learn (how to do) properly
atebeekiize hati kuvuga matoka	He/she is now steady in driving a car
tebeza	To inform, tell, preach
akatebereza Namugongo abasomi boona baamugayuka	He preached at Namugongo and all the faithful appreciated his sermon
tebura	To speak sarcastically to, mock, flatter
tebya	Converse, narrate, tell news
ebigambo ebi bitebiibwe abahuliirege orubazo rwe	The news was told by those who listened to his/her talk
teeba	To aim at, guess, score
Byengonzi akateebera tiimu ye gooro ibiri	Byengonzi scored two goals for his team
teega	To be on heat (cows, etc.)
ente ze zikaburwa enimi ey'okuziteegesa	His cattle lacked a bull to entice them on tecga teckura heat
teega	To gird
teeka	To be calm, clear, settle (as muddy liquid)
teeka	To place upright
amaarwa	Give or offer beer
teeka	To set into small heaps, measure out (food, etc.)
enyaanya bakaiteekera abaguzi	They put tomatoes in heaps for buyers
teekaana	To become calm, settled, harmonious
obugenyi abuteekaniriize omutabani arogire Bulaaya; akagenda kuteekanizisa Rwakijuma obugenyi bw'omutabani	He/she bas prepared a feast for his son who has returned from Europe; He/she went to help Rwakijuma prepare a feast for his son
teekera	To sharpen {knife)
emihyo n 'amacumu baabiteekeerra hamahyoro; abantu abandi bateekeza muyamba	People sharpen knives and spears on wetstones; Some other people sharpen tools with a file
teekereza	To think, consider, suppose
Ruhanga atutanga kuteekerereza busa bagenzi bairu ngu nubo bakozire ekintu ekibi nanka; ebiteekerezo eby 'obusinge biteekerezibwa Ruhanga	God forbids us to think unfoundedly bad acts about our neigbbbors; Thoughts of peace are thought by God
teekura	To take off, displace, remove
ow'okumuteekuurraaho ebyokulya bye akamubura; habugenyi abasaija nubo bateekuzaaho abakazi ebyokulya hamahega; ebyokulya bikateek:urwaho abasaija bonka	Displace, remove; Byasiiriira, she failed to get someone to take the food she was cooking off the fire and consequently it gotburned up; When food is cooked for a party it is the men who help women to take food ofT fire (off cooking stones); It was only men who took food off the fire (from the cooking teera teerateerana stones)
omuyaga niguteera; omutima nigumuteera	Wind is blowing; His/her heart is throbbing
teera	To beat. Strike, play
akakule; I.akakwazo; t. akairimira; t. amabega; /. ekiikoohe; t. ekikule; t. ensibo; t. amasa; t. oburaro; /. omuku; t. omusindo; t.orubugo; t. orujali; t. oruhi; 1. orunyege; t. omuhanda; t.enkaito	Laugh loudly; Burst out laugrung; Run very fast, tum a somersault; Tum the back on; Sigh (when tired); Blow a born; Remould an old pot; Beat the air; Make a bridge; Bellow (bull), shut; Stamp the foot; Make a barkcloth; Make merry; T. Empi, slap, hit with flat of band; Dance; Make a journey; Polish shoes
teerana	To be together, be in agreement, have sexual intercourse, make alliance with
-omuruganda rwabo tibateerana	-They do not agree with each other in their clan
teerangana	To beat one another
tecraniza	To bring into agreement, unite, make peace
omusaija n 'omukazi habw 'okuba baceke omukuru akobateeraniriza muka yabo	Both the man and the woman being weak, the priest married them at their home
teerateerana	Collide
1110/oka zikira kuteerateeranira omubyezigooro; ekiteerateeraniza motoka nukwo kwirokira hanziriga enyingi muno omubyezigooro	Motor cars often collid in comers; It is overdriving while in comers that causes motor cars to collide
teereerra	Lo enjoin, stir up urge
akabateereerra kutaikirizaaga omwana we weena kugenda ekiro; omusomesa akabateerereerra kim11 kutaijaga b01ajll'aire nkairo; bateereriinve kwikara omunyikiriza yabo	He/she enjoined them not to allow any of his/her children to travel at night; The teacher enjoined them not under any circumstance should they come to school without wearing shoes; They have been enjoined to remain faithful to their faith
teerereza	To deny, oppose, contradict
akateererereza omumaiso g 'omucwi weemisango nkook11 atarakikozire	He/ she denied before the magistrate ever committing such an offence
teereza	, of teera
omuntu amaju; amaju akagamllteerereza omukaju aka akaba atamkusobora kutaahamu atatiize maju; akaju kafimzire nuko kaamumuteerezeseze amaju	To kneel before a person; He made him kneel before him/her when entering into a small but which he could not enter without kneeling; It was lhe small hut that made him kneel before him
teerra	To be slippery, be smooth, slide, glide
omuhanda gurumu ebisaabu guteerra	A muddy path is ever slippery
tega	I
omwinvarro akarugamu atakategere; t. enkarwa; ekiraba haigunt bakitegera hansi; ebisoro eby'amaani muno babitegesa ornuliiti	Akategera omuka, he/she left hospital before he/she was fully recovered from illness, he/she was fully recovered after he/she had gone home. Tega, ku-, oku -, v.tr; Trip up in wrestling; A flying object is trapped from the ground: c. Form, tegesa, k11-, oku-; Strong animals are trapped with a lasso made of sisal
tegana	To be very busy, be bothered
teganiza	To trouble, worry
tegeekaniza	To make an attempt
tegeijuka	To grow luxuriantly
tegeizira	=/oreg
tegeka	To arrange, prepare
tegereza	To wait for expectantly
omufumu abarwaire bakamutegerereza aheeru y 'ekisiika /eye; bakabiiltirwa tcgura temb kubategererezesa busa omuge11yi atarasoboirekwija; mukun1 w 'ihanga akategerezibwa abontu yaraganiize kubungira	The patients waited for the doctor from outside his consuJtation room; Theywere disappointed by having been made to wait for a visitor who never turned up; The head of state was awaited for by the people he had promised to visit
tegura	To put in the proper place
nooyetaaga omuheereza ow 'okukuteguruurraaga engoye zamve; genda oteguze mugenzi waawe ebintu baliiriireho	Do you need a servant responsible for putting your clothes in their proper place?; Go and help your brother put away the thingsthey have used at meal
teguurra	Pr.,(p f. -tegurwire)
omutego bakaba bategere	Omunyoro akagubateguniza, the chief made them unset the trap which they bad set
teka	To be level, straight. Teke, e-, n.cl.9,{pl. Nil)
televizoni	Cl.9
tema	To be crooked (weaving of mat)
banza osambuu"e omukeeka ohike eldikaro gutemiiremu nukwo oguterekereze; ob oruka omukeeka otagumize enkindo ogutemya; tali niinyowe atemeze omukeeka gwawe; t. ekiteega; naaseerra aw'okumwemere emifiye; enjoka ekamutemera omum11siri naalima; abasaija emiti bagitemeseze e11de11111; ayatemerwe enjoka atiina omunya	Unravel the mat first up to the spot where it started going crooked and then start putting it straight; When you weave a mat without firmly fixing the palm leaves it goes crooked; Gutemiibwe omukazi ayaba naaguruka, it is not f who made your mat crooked, it is the woman who has been weaving it. Tema, ku -, oku-, v.tr; Bite the leg; Ekuzire muno, she is looking for someone to cut down her trees as they have over grown; The snake bit her while in the garden digging; The men used an axe to fell the trees; He/ she that was once bitten by a snake will run away from a lizard
tematemura	To tear to pieces
ekiniga kikamutemuza ebbaruha ezi akaba amuhandiikiire; emiti y'ebijuma abaana bagitembera tembeeka temeerra kugicwaho ebijuma byayo; embogo =ikabatembesa omuti	Indignation made him/her to tear the letters which he he/she had written to him/her; Children climb fruit trees so that they may pick fruit from them; The buffaloes made them climb a tree
tembccka	To accuse falsely
0111ura11111zi akakizoora nkooku eki11111yamugambireho eki akaba akinmtembeekere kwonka	The arbitrator realized that what he/she said about him/ her was false
tembeerra	To climb up to
noobu e11seene11e baazaahuragaliaiguru kwinganaki	Omusuma yasoboraga kuzitembeerra akaziiba, however, high grasshoppers would be kept, a thief would still climb up to steal them
tembeerra	To dare, presume, approach boldly
nyineeka aJemberiirwe nuwe ogu ow'omusaija mugenzi we aihireho mulcazi we	It is the bead of the house that is held with contempt that is deprived of his wife by another man
tembekaniza	To pile up in a heap. Tembekerana, ku-, olru-, v.tr
tembura	To build in a new place
temburuka	To come down, descend, get out of bed
omwana mukuru tayetaaga muntu ow 'okumutemburuya hakitabu	A grown up child does not require a person for putting him/her down the bed
tembya	To cause to ascend, raise, hoist
ebendera y 'ekitebe rundi ey 'ihanga bagitembya nyenkya bagihanuura rwebagyo	The flag of an organization or of a nation is hoisted in the morning and unhoisted in the evening
temeerra	2, {pf. - temeriire)
naaseerra omuntu w 'okummemereerra ebitooke; abanyoro bakasanga ebitooke bye biri omwirungu; ebitooke bye byamara emyaka ebiri bitakatemererwaga	He/she is looking for a person to free his/her banana plantation of weeds; Babimutemereza, the chiefs found his/her banana plantation overgrown with weeds and they forced him/her to free it of them, pass. Form, temererwa, ku-, oku-; His/her banana plantation has spent two years without being freed of weeds. Tengeetera tereza omusisa obu g111eera ensi yoona etengeeta, when the ea11hquake passes by, the earth qunkes
tengeetera	: to tremble, be shaky (as fromage).abcm111 tibalyanabakobaabo habw ·ok1111111a kutengeetera, people do not eat with their sons in-law for fear of getting a shaking disease
tengeneka	To steady, balance
tenta	To roll
ekinfll kitentera nambere haba heculikire; Wakame yatensaaga ebibaale bigya bileera ayabaga aizire kumukwata	Something rolls where there is a slope; Wakame used to roll stones down the slope and hit those who came to arrest him
tentebuka	To descend hill with
leka kungambisa akasozi nikantentebukya	Stop making me speak as the slope of a hill is forcing me to fall forward. Teoteerra, ku-, oku, v.i
terebera	To be indolent, sit doing nothing
akaterebeerra kutaba na numtu w 'okumwekambisa kukora emirimo; omunlu kwikara omukitabu abyamire esaaha zoona kimuterebeza; ogu akaterebezibwa obugara	He/ she became indolent because be/she did not have anyone to encourage him/her to work; Keeping in bed all the time makes one indolent; Laziness made him/her indolent
terebuka	To slip, slide
akaterebukira hakasozi yagwa yahe11deka; akaba naija kwombeka omurubuga abazaire be baamuterebura	He/she slid while descending a hill and fell down and got a fracture. Terebura, ku-,.oku-, v.tr; Be was going to build in town but his parents discouraged him
tereekeerra	To be straight, flat, level
enju enyakwombekerwe hansi etereekeriire etwara sellle nke	A house that is built on a leveled ground costs little money
tereoganiza	To lie, talk deceitfully
abantu baJerenganiriza obutamanya	People talk deceitfully out of ignorance
tercza	To cause to slip
temera	To sow or plant one by one
obu okaba orwaire obotao/11 11ubo boomutemeriire ebihimbo bye; obokozi bagen:u benubo baomulemiize ebihimba bye; ebihimba bye bikatemerwa obaraahi	When she was sick, it was the neighbours who planted her beans; It is her fellow women who helped her plant the beans for her; Her beans were planted by the neighbours
temuka	To become tom, rent
temura	Lr
okomunyegeerra hobw 'okumutemuurro ekiteeteei; ekiniga kikamutemuza ebboruho yamuhondiikiraga zoona	She accused him for tearing her dress; Indignation made her tear all the correspondences he used to receive from him
teoda	Weave (engora)
abatenzi batendeso enkindo nmdi e11duko	Abahunzi bolwndiso enkwozi, people who ornament sticks do so with leaves while those who adorn objects do so with beads
teodcbeka	To put in a difficult position, give an impossible task
amutendebekere egaoli enyalmfiire yatumkya sente ezi ateetegekere	He trickly gave hnn a faulty bicycle which put him into unnecessary expense
tendeka	To initiate, educate
tencekana	I., ( pf. -teneekaine)
teoeekaniza	C
teneka	{pf. -tcnekere)
mwije muntenekere omusiri gwange gunu; enfuka ya kidim11 niyo ebo mmgi kutenekesa omusiri	Come and dig my garden by turning over clods; It is a broad bladed hoe that is suitable for turning over clods in digging
tenga	To get ready to fight or dance
tengeerra	To exclaim, exaggerate, overpraise (supposed to bring bad luck), obantu abandi obu bakora ekintu kinmgi tibagonza kubatengeerra, some people do not want to be over praised when do something good
tengeesa	To shake, tilt
tengeeta	To shake, quake, fidget, roll (boat)
orubengo nve bakaruterereza omubugenyi	Her grinding stone was made slippery at the wedding (by grinding wrong stuff on it)
teruka	To be poor (soil)
obu yaboine omusango okugurukwija kum11si11ga ebigambo yabiterukaho	When he realized·that the case would end up against him/her, he/ she decided to slip away from it
teruka	To mock, speak disparagingly of (a benefactor)
terura	Rr
teruurra	To give (milk, coffee berries)
tesa	To pet, make much of
teta	To be carefree, begin to talk (as a little child)
abaana abaingi obu baba nibateta	Bate/era hakigambo "taata". Many of the children when they are beginning to talk will begin with sound "taata" (father), but see below
teteerwa	To be undecided, waver, hesitate
omuntu obu aba naija kukora ekintu omutima gwe gukateteenva eki aba naagya kukora akireka	When a person is about to do something and his/her heart hesitates, he/she gives upthe idea
tetera	To give to (used of a young child)
abakazi ba/ima bari; ente zijuga ziti; ngambire nti; embuzi ekatigira ha kwambuka ekisam·u; amaizi g'ekisaaru nugo gaagitigize	Women dig like this (show action); Cows mow like this (make the sound), ndo/10 mi, Iam like this; Ihave said thus (quote what you have said) agamb1re ati, he has said thus (quote his words). Ti- negative prefix at the beginning of a verb stem beginning with a consonant and the vowel i. Tibaijuka, they do not remember; The goat became stubborn when it came to crossing the river; It was fear of the river waters that made it stubborn
tiganda	Gather and carry wood for beginning to bujld
munywani we nuwe yamut1gandisize enju ye egi	It is his blood brother who helped him gather and carry wood for beginning to build his house
tigika	To support (a falling thing) with poles
akamweta kwnutigikira enju ye	He tigita timbura called him to support his house with poles (it was almost falling)
tigita	To tickle
tilhiika	To cram, stuff, over load
ebyokulya ebyamurwaize akabimutiihiikira owaabu	The food that made him/her sick, she stuffed to him/her while at her home
tiika	To dote on, be infatuated with
omuntu obu aba aguzire orugoye ruhyaka anttiika	When a person buys a new cloth he/she gets infatuated with it
tiikuruka	To grow tired of
tiima	Chop small, mince
enyama y 'omwihuki w 'amaino baakugitiimirege; haroho obwoma abantu obu batiimisa enyama	The meat for thetoothless person would be minced; There are machines which are. Used to mince meat
tilna	To fear, hold in reverence
tilniirra	To leave in the lurch
omusaija akatiiniriirra mugenzi we omwirungu obu bagiire kuhiiga embogo	A man left his hunting mate in the lurch when he was caught by the buffalo in the jungle
tiitilra	To cheep, twitter
akaana k 'enkoko katiitiirre omu mapapa ga nyinako; engoye ze nizeera tiitiiti; ebirika bifuka tiitiiti	A chick twitters in it's mothers wings; His/ her clothes are copiously white; Snow is absolutely cold
tiiza	{pf. -tiirize)
timba	Scoop, to dig with stick, decorate with flowers and coloured cloth
ebitakuli bito babitimba kandi ebikuru babiteera n 'efuka	People scoop up young potatoes with a stick and the fully grown up with a hoe
timbun	To beat entimbo
tinda	To be discoloured (cloth) due to poor tiritn """"t
engoye obu ozoogya otaimaziremu shake about; t. ekitabu	Waddle. Burofu zitinda, clothes which have not tintimya, ku-, oku-, v.c; Had become stale
tindikuurra	Rr
tindura	Utter all secrets when gambolling more than that. Quarrelling
to nibaririiha kukira aho; ebintu byakyo byona	Ifhis/her children take up(mats), take down (bedstead), to bad a large compound they would be mess up things; When a person kakuba ebyokulya obicumbisa omuurro loses something in his/her bed, he/she ogutarukumara, nibitirima. If you cook removes each and every item on it so food under insuffient fire, it becomes as to find it
tirimbira	To skip about, frolic gambol, caper
okutirimbira na kwo k 'okuroorraaho to make to remove thfogs for cleaning kook1Jsemererwa kw 'abaana	House
titima	To be hard and black in center (plantains)
orubaa/e ob11 ruteera ebitooke ebyanire rubititimya	When hailstone hits newly produced plantains it makes them hard and black at their center
titira	To shake with cold, shiver
atiina kugenda omukibira nyenkya kara kutitiirraamu; aban/11 bakira muno kutobeerra omubisaaru ebirumu ama/ehe	He/she fears to go to the forest very early in the morning as he/she will shiver with coldness; People often sink when going through mires (swampy grounds)with deep holes
tobeza	To put millet Hour into boiling water when starting to stir (cook) millet (oburo)
obu yasangireamazire irakutobeza enyungu yamuleka yahotoorra kimu	When she· found that she had already put millet in the boiling water, she let her continue with the cooking
toboka	, speak irrationally, talk randomly
toga	To claw
kutoga kugenzire nikukeeha omumasomero	Teasing has been reduced in schools
togatoga	To walk about naked
togolekwa	To speak incoberently
omuntu atogo/ekwa obu aba naabaza ebitarula11eerana hamu	A person is incoherent if he/she speaks illogically and inconsistently
togonyora	To crush, squash
togota	To bubble (when boiling)
ebyokulya ob11 baba nibabicumba bikatandika kutogota buli biri haihi kuhya	When food that is being cooked begins to bubble it means that it is nearly getting ready
toha	To grow thin and weak, look mournful
toibya	To be on heat (female dogs)
toija	Till
toka	To shout, benoisy
akatokera omukooti om11ramL1Zi yamufubira; rediyo obu agitokesa muno ebuza abarukubaza obusinge	He/sbe became noisy in court and the magistrate reprimanded him/her; When you put the radio volume very high it interferes with people's conversation
tokeerra	Pr. 2,, abagizansoni obu baba nibalya abantu tibabatokeerra, no noise should be made by other people when in-laws are eating. Toko, e-, n. Cl., loud talking, shouting, clamour
tokolekana	To make any loud, indistinct noise, brawl, shout, screech
amaa1wa gatokolekaniza abarukuganywa	Banana wine makes people who are drinking it speak loudly and indistinctly
tokoma	People's property is often p fire or in the sea
tokomera	Of tokoma ( r tokomiire)
tokomeza	(p:. -tokomiizci: pass of c.form, tokomevbwa, ku-,ok,,.
tokomoka	To make noise that will disturb one, disappear from sight
tokoora	& v.tr
akatokoora	Omuntu ow 'embabazi yamutokoora, he got a foreign body into his eye and some kind person took it out from it
toma	To begin
Eryato likadikira abakaba bafirumu boona baatokomera omunyanja; ayayokeze enju ye nuwe yagondeze okutokomya ebintu bye; ebintu by'abantu bikira okutokomebwa omu11rro rundi enyanja	A boat capsized and all the people aboard it perished in the sea; He/she that burnt bis/ her house was the one who wanted to have his property destroyed; Eating of millet meal so that others can also eat
toma	To sound (large Royal drum)
tomera	To charge into, knock against accidentally
akatomera ekisiika omumwirima naagya kubyama; akavuga motoka ye atamiire yagitomeza ekisa ky 'oruguudo	He/she knocked against a wall in the dark when he/she was going to bed; He drove his car while he was drunk and he made it knock against a road bank
tona	To be spotted
tona	To depict by marks, paint
abantu abamu batona amajugaabo n 'inoni; obu oba otaina rangi y' Ekijungu noosobora kutonesa inoni	Somepeople depict houses with chalk; If you do not have manufactured paint you can use locally mined white clay (chalk)
tonda	To identify, establish identity of,recognize
orusu; 1. obusegu; t. omutima; akeeta abanyaruganda kwija kumutondera omwana	Prepare the roof when beginning to build a round native hut; Of snake, get poison ready so that it can have it discharged; Of a child, grow up and reason as a grown up person; He invited clansmen to come and identify the child for him
tondera	To explain, tell all
abantu abandi tibeetaaga kubatondera ebikorwa by'abany abuzaale baabo ebibi	Some people do not need to have the bad deeds of their relatives told to them
tondogoorra	T1:
oburo obwasigaire omumusiri butagesirwe babllf ondogoroiremu bwona bwalrwamu; akanga kutondogoorra byona ebyarugiriif weho okunobangana kwabo; akaragira abaana be kugenda k11tondogoroorra nyinenkunt bo oburo abagesi obu baasigire omumusiri	They have picked all the millet that was left unreaped in the garden; He/she refused to explain fully the cause of their estrangement; He/she ordered his/her children to go and reap the remaining millet that the reapers left in the garden for their grandmother
tondooka	Split open (beans, peas), ebihimba obu byoma muno bitondooka, when beans get to dry they split
tondoora	To shell, peel, remove husks, split open, unpod
akabasaba kumutondoorra ebihimba bye	He/she asked them to unpod the beans for her
tondooza	To separate from, select, distinguish between
ibanja lye akalitongera omwaka gwo11a	He/she spent the whole year dunning him for payment of his/her debt
tongana	To go to law, lead against
omusango gw 'okwonesa akagutonganira omwaka gwona; akamutonganiza habw 'okumwoneseza; biro binu emisango etongamva abatonganirizi	He/she spent the whole year pleading against a charge that his animals ate the crops of a neighbour; He/she made him/ her plead against charges that his/her animals ate bis/her crops; These days it is the advocates that plead against charges put against someone
tonganiirra	To plead for another
akasinga omusango lwbwokuba akaba aina arukumutongoniirra; akamutonganiriirra omukooti enkuru; atonga11iriin1•e abato11ga11irizi basatu; Bakatutanga kuto11gyatongya ebintu bingi obu turaabaga nitusaba; ekizina kyabo kikaba kiri kinmgi f..yonka kikaburwa ow 'okukitongeerra kunmgi; bagamba bugamba ebigambo ha kintu; abazim abataina mutongerezi basaba omuntu w 'okubatongereerra; ekizina kitatongeriirwe tikyoleka kunmgi ekigendererwa kyakyo	He/she was able to win the case because he/she had someone pleading for him/her; He/she pleaded for him/her in I.he High court; Three advocates pleaded for him/her. Tongatongya, oku-, oku-, v.i; We were advised not to utter many words when praying. Tongeerra ku-, oku-, v.tr. & v.i; Their song was nice but it lacked a soloist· omukiikaro ky 'okuzina abantu aband; Instead of singing some other people only recite words about something; Singers who do not have a soloist will hire one to come and lead them in the singing; A song without a soloistdoes not reflect its aimclearly
tongora	To pick, select the best or ripest
ebihimba bye asangire babitongoiremu ebibaire byengere byona; Byakunaga akarwanisa Byenkya habw 'okutongora mukazi we; abaatongoire ebihimba bye bakabitongoorra omunjura eyasiibire neegwa	She found that all her ripe beans had been picked; Byakunaga fought Byenkya for dancing with his wife; Those who picked her ripest beans did so when it rained throughout the day
tonokora	To arouse pain in the sore as a result of bringing it into contact with a hard object accidentally
obu arubata ekihooya kye kitonokora; tonokya toooyeerra akatonokoorra omu111uhanda naagya omwirwarro	When he/she walks he/she arouses pain in his/her sore; He/she aroused pain in his/ her sore as he/she went to hospital
bakaba nibazaana owanyina yamutonokya ekihooya yatandika kurra; akamutonokeza omukizaaniro nibazaana; atonokiibwe mugenziwe obu babaire nibazaana	They were playing when accidentally his/her brother caused pain in his/her sore and consequently she cried; He/she caused pain in his/her sore while they played; It is his/her brother/sister that caused pain in his/her sore while they played
tonta	To grow thin and feeble, look mournfully
omwana onu akatontera kutaliisibwa kunmgi; kwikara nooteera omwana ogu nikwija kumutonsa	This child grew thin and feeble due to lack of proper feeding; Beating that child frequently will make him thin and feeble
tontera	Dive down, descend
tontoma	To murmur, be angry, growl
